Title,Artist,Rank,Peak Position,Last Position,Weeks
"React","Erick Sermon Featuring Redman",94,36,79,16
"One Last Breath","Creed",42,6,27,34
"Gimme The Light","Sean Paul",44,7,26,39
"Dilemma","Nelly Featuring Kelly Rowland",49,1,33,29
"Sk8er Boi","Avril Lavigne",85,10,75,20
"Thug Lovin'","Ja Rule Featuring Bobby Brown",93,42,89,10
"Girl Talk","TLC",96,28,91,14
"Luv U Better","LL Cool J",35,4,35,22
"Hey Ma","Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",40,3,34,21
"Like I Love You","Justin Timberlake",59,11,49,20
"Goodbye To You","Michelle Branch",93,21,97,20
"From Tha Chuuuch To Da Palace","Snoop Dogg",94,77,90,10
"Single For The Rest Of My Life","Isyss",100,71,95,12
"I Care 4 U","Aaliyah",59,16,54,20
"Somewhere Out There","Our Lady Peace",84,44,88,20
"These Are The Days","O-Town",98,64,70,5
"Every River","Brooks & Dunn",99,75,87,5
"Complicated","Avril Lavigne",41,2,36,31
"Somebody Like You","Keith Urban",46,23,37,20
"Aerials","System Of A Down",90,55,89,20
"Work In Progress","Alan Jackson",97,35,94,19
"Oh Yeah!","Big Tymers Featuring Tateeze, Boo & Gotti",100,46,93,18
"Po' Folks","Nappy Roots Featuring Anthony Hamilton",47,21,44,23
"Baby","Ashanti",48,15,39,22
"Beautiful Mess","Diamond Rio",61,28,59,20
"The Streets","WC Featuring Nate Dogg",91,81,89,13
"Ordinary Day","Vanessa Carlton",92,30,95,18
"Where Would You Be","Martina McBride",97,45,97,16
"Little Things","India.Arie",100,89,99,13
"If I Could Go!","Angie Martinez Featuring Lil' Mo & Sacario",41,15,41,26
"Gotta Get Thru This","Daniel Bedingfield",45,10,39,21
"Stingy","Ginuwine",80,33,48,20
"Cleanin' Out My Closet","Eminem",92,4,90,20
"Trade It All","Fabolous Featuring P. Diddy & Jagged Edge",100,20,98,18
"Gangsta Lovin'","Eve Featuring Alicia Keys",43,2,30,22
"A Thousand Miles","Vanessa Carlton",46,5,42,41
"The Ketchup Song (Hey Hah)","Las Ketchup",95,54,89,9
"Starry Eyed Surprise","Oakenfold Featuring Shifty Shellshock",97,41,83,8
"Forgive","Rebecca Lynn Howard",100,71,95,5
"Heaven","DJ Sammy & Yanou Featuring Do",43,8,42,27
"I Need A Girl (Part Two)","P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",50,4,48,26
"I Am Mine","Pearl Jam",96,43,71,8
"Crush Tonight","Fat Joe Featuring Ginuwine",97,77,83,7
"American Child","Phil Vassar",98,48,90,15
"Good Times","Styles",99,22,88,20
"Braid My Hair","Mario",100,74,89,8
"Flake","Jack Johnson",93,73,90,17
"I Keep Looking","Sara Evans",95,35,95,19
"Two Wrongs","Wyclef Jean Featuring Claudette Ortiz",96,28,99,20
"Burnin' Up","Faith Evans Featuring Missy 'Misdemeanor' Elliott",97,60,93,15
"Why I Love You","B2K",100,73,84,4
"Just Like A Pill","P!nk",51,8,39,20
"Running Away","Hoobastank",54,44,59,20
"Ten Rounds With Jose Cuervo","Tracy Byrd",75,26,78,20
"Unbroken","Tim McGraw",94,26,88,20
"Don't Say No, Just Say Yes","Avant",100,96,96,4
"Move B***h","Ludacris Featuring Mystikal & Infamous 2.0",32,10,24,23
"No Such Thing","John Mayer",50,13,38,24
"Downfall","TRUSTcompany",95,91,91,4
"The One You Love","Paulina Rubio",97,97,97,3
"In Da Wind","Trick Daddy Featuring Cee-Lo & Big Boi",99,70,96,18
"Electrical Storm","U2",100,77,93,7
"Nothin'","N.O.R.E.",35,10,30,24
"Happy","Ashanti",45,8,32,23
"Down 4 U","Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",78,6,77,20
"Long Time Gone","Dixie Chicks",87,7,87,20
"Objection (Tango)","Shakira",90,55,86,9
"I Do (Wanna Get Close To You)","3LW Featuring P. Diddy & Loon",92,58,79,14
"Sweetness","Jimmy Eat World",99,75,94,14
"Are We Cuttin'","Pastor Troy Featuring Ms. Jade",100,96,96,5
"Hot In Herre","Nelly",39,1,35,26
"Soak Up The Sun","Sheryl Crow",42,17,42,29
"The Middle","Jimmy Eat World",49,5,43,33
"Where Are You Going","Dave Matthews Band",64,39,56,20
"By The Way","Red Hot Chili Peppers",76,34,76,20
"I Miss My Friend","Darryl Worley",78,28,77,20
"When You Lie Next To Me","Kellie Coffey",100,54,97,18
"The Impossible","Joe Nichols",45,29,39,21
"The Good Stuff","Kenny Chesney",57,22,51,20
"Courtesy Of The Red, White And Blue (The Angry American)","Toby Keith",83,25,78,20
"Feel It Boy","Beenie Man Featuring Janet",99,28,89,12
"She Was","Mark Chesnutt",100,62,96,11
"Just A Friend 2002","Mario",42,4,28,21
"Hero","Chad Kroeger Featuring Josey Scott",45,3,38,22
"Big Machine","Goo Goo Dolls",87,64,81,6
"My Friends Over You","New Found Glory",90,85,89,6
"Love At First Sight","Kylie Minogue",92,23,78,16
"Steve McQueen","Sheryl Crow",94,88,88,5
"Why Don't We Fall In Love","Amerie",95,23,85,19
"The Rising","Bruce Springsteen",100,52,91,11
"Grindin'","Clipse",83,30,80,20
"Walking Away","Craig David",90,44,87,20
"Drift & Die","Puddle Of Mudd",93,61,90,20
"She Loves Me Not","Papa Roach",95,76,89,12
"Call Me","Tweet",96,31,95,19
"I've Got You","Marc Anthony",99,81,97,14
"Out Of My Heart (Into Your Head)","BBMak",100,56,84,8
"I'm Gonna Be Alright","Jennifer Lopez Featuring Nas",48,10,32,23
"Hate To Say I Told You So","The Hives",91,86,95,11
"The One","Gary Allan",93,37,91,20
"Tainted","Slum Village Featuring Dwele",94,87,93,11
"Put Me Down","Donell Jones",100,98,98,3
"Still Fly","Big Tymers",40,11,33,24
"Foolish","Ashanti",49,1,50,32
"Without Me","Eminem",55,2,47,20
"Days Go By","Dirty Vegas",82,14,73,20
"Someone To Love You","Ruff Endz",83,49,81,20
"All Eyez On Me","Monica",92,69,82,7
"Full Moon","Brandy",94,18,94,20
"Way Of Life","Lil Wayne",97,71,91,12
"My Neck, My Back","Khia Featuring DSD",100,42,99,18
"Wherever You Will Go","The Calling",45,5,42,45
"I'm Gonna Miss Her (The Fishin' Song)","Brad Paisley",83,29,89,20
"Tonight I Wanna Be Your Man","Andy Griggs",100,52,93,12
"Oh Boy","Cam'Ron Featuring Juelz Santana",40,4,32,21
"halfcrazy","Musiq",46,16,39,25
"Blurry","Puddle Of Mudd",49,5,40,38
"A Little Less Conversation","Elvis Presley vs JXL",86,50,61,9
"You Know That I Love You","Donell Jones",91,54,92,20
"Whatchulookinat","Whitney Houston",96,96,96,3
"Blue Jeans","Yasmeen Featuring Ghostface Killah",97,97,97,4
"All You Wanted","Michelle Branch",46,6,43,28
"Wasting My Time","Default",49,13,50,35
"Addictive","Truth Hurts Featuring Rakim",52,9,42,20
"Hella Good","No Doubt",53,13,47,20
"For All Time","Soluna",98,72,91,11
"Not A Day Goes By","Lonestar",99,36,86,17
"What's Luv?","Fat Joe Featuring Ashanti",46,2,43,28
"Gots Ta Be","B2K",92,34,86,18
"What If A Woman","Joe",95,63,93,16
"Where Do We Go From Here","Filter",100,94,96,5
"I Need A Girl (Part One)","P. Diddy Featuring Usher & Loon",47,2,33,23
"Living And Living Well","George Strait",62,27,62,20
"I Don't Have To Be Me ('til Monday)","Steve Azar",75,35,72,20
"My Heart Is Lost To You","Brooks & Dunn",92,48,77,13
"Down A** Chick","Ja Rule Featuring Charli 'Chuck' Baltimore",94,21,85,19
"Quitame Ese Hombre","Pilar Montenegro",97,74,97,13
"Don't Say Goodbye","Paulina Rubio",98,41,95,16
"How You Remind Me","Nickelback",50,1,45,49
"Rainy Dayz","Mary J. Blige Featuring Ja Rule",83,12,82,20
"Help Me Understand","Trace Adkins",90,80,81,4
"Feels Good (Don't Worry Bout A Thing)","Naughty By Nature Featuring 3LW",93,53,94,20
"Give It To Her","Tanto Metro & Devonte",96,85,85,20
"Here To Stay","Korn",100,72,100,12
"U Don't Have To Call","Usher",48,3,39,26
"Here Is Gone","Goo Goo Dolls",80,18,79,20
"Makin' Good Love","Avant",87,27,78,20
"Say I Yi Yi","Ying Yang Twins",97,56,88,14
"Don't Let Me Get Me","P!nk",49,8,37,21
"Drive (For Daddy Gene)","Alan Jackson",55,28,53,20
"Underneath Your Clothes","Shakira",62,9,57,20
"Too Bad","Nickelback",82,42,77,20
"I Should Be Sleeping","Emerson Drive",89,35,83,20
"Toxicity","System Of A Down",99,70,93,13
"Wish I Didn't Miss You","Angie Stone",100,79,100,19
"In The End","Linkin Park",42,2,41,38
"Papa Don't Preach","Kelly Osbourne",85,74,74,2
"Awnaw","Nappy Roots",97,51,96,20
"More Than A Woman","Aaliyah",48,25,35,24
"Pass The Courvoisier Part II","Busta Rhymes Featuring P. Diddy & Pharrell",62,11,51,20
"A New Day Has Come","Celine Dion",81,22,74,20
"For You","Staind",86,63,83,20
"Black Suits Comin' (Nod Ya Head)","Will Smith Featuring Tra-Knox",94,77,95,3
"One Mic","Nas",99,43,98,13
"I Don't Want You To Go","Carolyn Dawn Johnson",100,54,94,10
"Anything","Jaheim Featuring Next",54,28,52,20
"Escape","Enrique Iglesias",57,12,58,20
"What If She's An Angel","Tommy Shane Steiner",77,39,75,20
"That's When I Love You","Phil Vassar",84,37,84,20
"Crawling In The Dark","Hoobastank",99,68,100,19
"Guess Who's Back","Scarface Featuring Jay-Z & Beanie Sigel",100,79,94,8
"Ain't It Funny","Jennifer Lopez Featuring Ja Rule",43,1,35,27
"My List","Toby Keith",61,26,55,20
"Saturday (Oooh! Ooooh!)","Ludacris Featuring Sleepy Brown",71,22,69,20
"Roc The Mic","Beanie Sigel & Freeway",97,55,96,19
"Day + Night","Isyss Featuring Jadakiss",98,98,99,4
"This Woman's Work","Maxwell",99,58,0,15
"Girlfriend","'N Sync Featuring Nelly",43,5,39,20
"Young","Kenny Chesney",84,35,85,20
"Oops (Oh My)","Tweet",92,7,74,20
"I Breathe In, I Breathe Out","Chris Cagle",95,35,94,20
"I Love You","Faith Evans",49,14,53,21
"Hands Clean","Alanis Morissette",89,23,86,20
"Youth Of The Nation","P.O.D.",92,28,89,19
"Can't Get You Out Of My Head","Kylie Minogue",78,7,64,20
"I'm Movin' On","Rascal Flatts",92,41,86,19
"Modern Day Bonnie And Clyde","Travis Tritt",94,55,82,11
"Video","India.Arie",98,47,90,31
"Uh Huh","B2K",50,37,41,22
"How Come You Don't Call Me","Alicia Keys",87,59,77,9
"Take A Message","Remy Shand",89,89,89,6
"Never","Amanda Perez",98,79,92,16
"Rapture (Tastes So Sweet)","iio",99,46,0,15
"Sugarhigh","Jade Anderson",100,96,96,2
"Blessed","Martina McBride",70,31,62,20
"The Cowboy In Me","Tim McGraw",87,33,78,20
"That's Just Jessie","Kevin Denney",90,76,83,17
"Take Ya Home","Lil Bow Wow",93,72,84,7
"What About Us?","Brandy",94,7,88,18
"Some Days You Gotta Dance","Dixie Chicks",95,55,91,19
"Overprotected","Britney Spears",99,86,90,5
"Whoa Now","B Rich",100,98,98,2
"Always On Time","Ja Rule Featuring Ashanti",46,1,34,27
"Hero","Enrique Iglesias",50,3,50,34
"Nothing In This World","KeKe Wyatt Featuring Avant",81,27,77,20
"Chop Suey","System Of A Down",92,76,89,20
"I Told Y'all","Petey Pablo",94,94,94,3
"So Complicated","Carolyn Dawn Johnson",95,59,96,17
"Take You Home With Me a.k.a. Body","R. Kelly & Jay-Z",96,81,95,8
"It's Goin' Down","X-Ecutioners",99,85,93,11
"Tell Me What's It Gonna Be","Brian McKnight Featuring Jermaine Dupri",100,91,98,5
"My Sacrifice","Creed",49,4,37,29
"Welcome To Atlanta","Jermaine Dupri & Ludacris",51,35,53,20
"Any Other Night","Sharissa",97,72,92,14
"Song For The Lonely","Cher",99,85,99,6
"Can't Fight The Moonlight","LeAnn Rimes",36,11,30,42
"Family Affair","Mary J. Blige",46,1,47,41
"Lights, Camera, Action!","Mr. Cheeks",48,14,38,30
"The Whole World","OutKast Featuring Killer Mike",57,19,42,20
"The Long Goodbye","Brooks & Dunn",80,39,75,20
"Hey Luv (Anything)","Mobb Deep Featuring 112",94,58,87,15
"Be Here","Raphael Saadiq Featuring D'Angelo",100,99,99,2
"U Got It Bad","Usher",36,1,36,32
"Superman (It's Not Easy)","Five For Fighting",45,14,42,35
"No More Drama","Mary J. Blige",77,15,60,20
"No Matta What (Party All Night)","Toya",90,86,86,7
"Bouncin' Back (Bumpin' Me Against The Wall)","Mystikal",96,37,90,20
"The World's Greatest","R. Kelly",97,34,94,18
"Closet Freak","Cee-Lo",98,98,0,3
"Take Away","Missy 'Misdemeanor' Elliott Featuring Ginuwine & Tweet",100,45,88,20
"Hey Baby","No Doubt Featuring Bounty Killer",49,5,44,20
"7 Days","Craig David",54,10,42,20
"Bring On The Rain","Jo Dee Messina With Tim McGraw",57,36,58,20
"Feel The Girl","Ms. Jade",92,92,92,4
"Got Ur Self A...","Nas",98,87,95,19
"Hush Lil' Lady","Corey Featuring Lil' Romeo",99,63,97,13
"Wrong Impression","Natalie Imbruglia",100,64,90,8
"Don't You Forget It","Glenn Lewis",53,30,41,20
"Young'n (Holla Back)","Fabolous",57,33,59,20
"Good Morning Beautiful","Steve Holy",60,29,64,20
"Insatiable","Darren Hayes",96,77,80,7
"Get The Party Started","P!nk",48,4,36,24
"Whenever, Wherever","Shakira",49,6,39,24
"Where Were You (When The World Stopped Turning)","Alan Jackson",76,28,79,20
"Round And Round","Jonell & Method Man",100,62,100,17
"Roll Out (My Business)","Ludacris",47,17,33,21
"Butterflies","Michael Jackson",54,14,52,20
"Standing Still","Jewel",64,25,57,20
"Wrapped Around","Brad Paisley",80,35,76,20
"In Another World","Joe Diffie",99,66,95,11
"Caramel","City High Featuring Eve",48,18,38,24
"Break Ya Neck","Busta Rhymes",64,26,53,20
"Brotha","Angie Stone",89,52,88,20
"Jigga","JAY-Z",99,66,92,9
"Knoc","Knoc-Turn'Al With Dr. Dre & Missy 'Misdemeanor' Elliott",100,98,98,3
"Drops Of Jupiter (Tell Me)","Train",47,5,45,53
"Alive","P.O.D.",87,41,82,20
"Just Let Me Be In Love","Tracy Byrd",96,64,81,10
"I Miss You","DMX Featuring Faith Evans",99,86,89,7
"Defy You","The Offspring",100,77,92,11
"A Woman's Worth","Alicia Keys",30,7,20,20
"We Thuggin'","Fat Joe Featuring R. Kelly",53,15,44,20
"Run","George Strait",75,34,69,20
"Wrapped Up In You","Garth Brooks",91,46,95,20
"Riding With Private Malone","David Ball",94,36,98,20
"Part II","Method Man & Redman",96,72,97,12
"Ooohhhwee","Master P Featuring Weebie",99,63,99,11
"Let's Stay Home Tonight","Joe",100,68,100,12
"Gone","'N Sync",40,11,41,24
"Where The Stars And Stripes And The Eagle Fly","Aaron Tippin",68,20,62,20
"#1","Nelly",72,22,63,20
"Drowning","Backstreet Boys",88,28,90,20
"I'm Tryin'","Trace Adkins",96,44,88,20
"I Do!!","Toya",47,16,40,39
"It's Been Awhile","Staind",48,5,46,46
"Rock The Boat","Aaliyah",49,14,28,25
"I Wanna Talk About Me","Toby Keith",74,28,66,20
"Dig In","Lenny Kravitz",82,31,80,20
"Goodbye","Jagged Edge",99,58,85,15
"Control","Puddle Of Mudd",100,68,92,20
"Livin' It Up","Ja Rule Featuring Case",32,6,23,25
"Differences","Ginuwine",35,4,22,30
"Hanging By A Moment","Lifehouse",49,2,48,54
"From Her Mama (Mama Got A**)","Juvenile",93,65,93,15
"Fatty Girl","Ludacris, LL Cool J & Keith Murray",98,87,98,14
"You Gets No Love","Faith Evans",100,38,95,20
"Only Time","Enya",47,10,42,31
"Stuck In A Moment You Can't Get Out Of","U2",83,52,81,20
"Emotion","Destiny's Child",85,10,76,20
"Son Of A Gun","Janet Featuring Missy Elliott, P. Diddy & Carly Simon",88,28,78,12
"Fade","Staind",96,62,90,17
"Runaway","NB Ridaz Featuring Angelina",100,97,97,4
"Fallin'","Alicia Keys",36,1,31,34
"Turn Off The Light","Nelly Furtado",44,5,33,25
"I'm Real","Jennifer Lopez Featuring Ja Rule",49,1,39,31
"Wish You Were Here","Incubus",79,60,69,20
"My Sweet Lord","George Harrison",94,94,0,1
"With Me","Lonestar",95,63,92,15
"Thank You","Lil Bow Wow Featuring Jagged Edge & Fundisha",99,93,93,5
"Girls, Girls, Girls","JAY-Z",100,17,94,17
"Love Of A Woman","Travis Tritt",83,39,74,20
"Dance With Me","112",86,39,76,20
"Love Of My Life","Brian McKnight",95,51,88,20
"I'm A Survivor","Reba",98,49,97,19
"Burn","Mobb Deep Featuring Vita & Noyd",99,99,99,2
"What Am I Gonna Do","Tyrese",100,71,94,18
"Lifetime","Maxwell",60,22,60,20
"I'm A Slave 4 U","Britney Spears",89,27,88,14
"You Rock My World","Michael Jackson",92,10,91,20
"God Bless The USA","Lee Greenwood",96,16,94,17
"Do U Wanna Roll (Dolittle Theme)","R.L., Snoop Dogg & Lil' Kim",100,84,98,16
"Everywhere","Michelle Branch",63,12,64,20
"Ugly","Bubba Sparxxx",89,15,90,20
"The Star Spangled Banner","Whitney Houston",97,6,80,27
"Never Too Far/Hero Medley","Mariah Carey",100,81,92,3
"AM To PM","Christina Milian",73,27,82,20
"Smooth Criminal","Alien Ant Farm",83,23,79,20
"Where I Come From","Alan Jackson",94,34,83,20
"God Bless America","Daniel Rodriguez",100,99,99,2
"Raise Up","Petey Pablo",50,25,45,21
"Angry All The Time","Tim McGraw",87,38,79,20
"Feelin' On Yo Booty","R. Kelly",92,36,92,19
"What If","Babyface",97,80,98,15
"Who We Be","DMX",100,60,89,12
"Hit 'Em Up Style (Oops!)","Blu Cantrell",46,2,41,34
"Crawling","Linkin Park",94,79,93,20
"Diddy","P. Diddy Featuring The Neptunes",95,66,86,9
"Freedom","Paul McCartney",97,97,97,2
"Every Other Time","LFO",99,44,94,18
"Fat Lip","Sum 41",100,66,96,12
"Where The Party At","Jagged Edge With Nelly",46,3,37,29
"Be Like That","3 Doors Down",49,24,40,21
"I Would've Loved You Anyway","Trisha Yearwood",91,44,93,20
"Angels In Waiting","Tammy Cochran",100,73,100,11
"Let Me Blow Ya Mind","Eve Featuring Gwen Stefani",44,2,44,33
"Fill Me In","Craig David",47,15,32,27
"Izzo (H.O.V.A.)","JAY-Z",65,8,51,20
"On A Night Like This","Trick Pony",78,47,68,20
"What's Going On","All Star Tribute",94,27,95,10
"Take You Out","Luther Vandross",95,26,0,17
"Bad Day","Fuel",99,64,97,20
"One Minute Man","Missy 'Misdemeanor' Elliott",46,15,43,21
"Only In America","Brooks & Dunn",53,33,50,20
"Can't Deny It","Fabolous Featuring Nate Dogg",59,25,51,20
"I'm A Thug","Trick Daddy",88,17,85,20
"I'm A Believer","Smash Mouth",92,25,93,20
"U Remind Me","Usher",44,1,35,24
"Ballin' Out Of Control","Jermaine Dupri Featuring Nate Dogg",98,95,0,5
"Castles In The Sky","Ian Van Dahl Featuring Marsha",99,91,0,10
"The Way","Jill Scott",88,60,86,20
"Set It Off","Juvenile",98,65,98,15
"When God-Fearin' Women Get The Blues","Martina McBride",99,64,82,10
"Contagious","The Isley Brothers Featuring Ronald Isley",100,19,91,19
"Drive","Incubus",48,9,50,39
"Just In Case","Jaheim",83,52,88,20
"I'll Fly With You (L'amour Toujours)","Gigi D'Agostino",96,78,0,13
"Someone To Call My Lover","Janet",52,3,42,20
"Schism","Tool",83,67,81,20
"Area Codes","Ludacris Featuring Nate Dogg",92,24,89,17
"Clint Eastwood","Gorillaz",94,57,86,11
"Flavor Of The Weak","American Hi-Fi",97,41,99,20
"When It's Over","Sugar Ray",41,13,35,22
"Peaches & Cream","112",48,4,37,29
"I'm Just Talkin' About Tonight","Toby Keith",80,27,67,20
"Where The Blacktop Ends","Keith Urban",91,35,86,20
"The Space Between","Dave Matthews Band",47,22,50,23
"All Or Nothing","O-Town",48,3,46,20
"Follow Me","Uncle Kracker",50,5,48,33
"Here's To The Night","Eve 6",79,30,67,20
"When I Think About Angels","Jamie O'Neal",82,35,77,20
"Start The Commotion","The Wiseguys",91,31,70,12
"I Wanna Be Bad","Willa Ford",93,22,83,20
"Because I Got High","Afroman",100,13,88,10
"What I Really Meant To Say","Cyndi Thomson",41,26,33,20
"Bad Boy For Life","P. Diddy, Black Rob & Mark Curry",85,33,76,12
"Music","Erick Sermon Featuring Marvin Gaye",93,22,92,20
"Six-Pack Summer","Phil Vassar",96,56,84,10
"Girl Next Door","Musiq Soulchild Featuring Ayana",97,85,93,8
"Bootylicious","Destiny's Child",98,1,90,19
"John Doe","Public Announcement Featuring LeLe",100,95,95,3
"Austin","Blake Shelton",41,18,36,20
"Thank You","Dido",50,3,47,39
"There You'll Be","Faith Hill",85,10,75,20
"More Than That","Backstreet Boys",96,27,93,20
"Shine","Lil' Wayne Featuring Baby, Mack 10 & Mickey",98,96,96,3
"We Need A Resolution","Aaliyah Featuring Timbaland",100,59,99,16
"What Would You Do?","City High",43,8,35,28
"Irresistible","Jessica Simpson",88,15,68,20
"Purple Hills","D12",94,19,80,15
"My Projects","Coo Coo Cal",97,81,92,9
"What It Is","Violator Featuring Busta Rhymes",100,63,88,14
"Downtime","Jo Dee Messina",89,46,84,15
"This Is Me","Dream",90,39,86,20
"Sandstorm","Darude",94,83,92,10
"Loverboy","Mariah Carey Featuring Cameo",95,2,89,14
"Laredo","Chris Cagle",96,60,93,12
"She's All I Got","Jimmy Cozier",97,26,88,15
"The Rock Show","Blink-182",100,71,100,9
"I'm Already There","Lonestar",48,24,41,20
"Wait A Minute","Ray J Featuring Lil' Kim",95,30,87,17
"Can't Believe","Faith Evans Featuring Carl Thomas",97,56,93,20
"While You Loved Me","Rascal Flatts",98,60,85,12
"Mad Season","matchbox twenty",99,48,94,20
"Ride Wit Me","Nelly Featuring City Spud",39,3,40,29
"Ghetto Girls","Lil Bow Wow",98,91,100,4
"Pop","'N Sync",99,19,90,15
"Bia' Bia'","Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte",100,94,94,3
"Get Ur Freak On","Missy 'Misdemeanor' Elliott",47,7,35,24
"I Could Not Ask For More","Sara Evans",82,35,83,20
"Why They Call It Falling","Lee Ann Womack",91,78,87,7
"Don't Mess With The Radio","Nivea",96,90,90,3
"Angel","Lionel Richie",97,70,98,18
"Baby, Come Over (This Is Our Night)","Samantha Mumba",99,49,100,17
"She Couldn't Change Me","Montgomery Gentry",49,37,49,21
"Superwoman Pt. II","Lil' Mo Featuring Fabolous",50,11,42,22
"Lady Marmalade","Christina Aguilera, Lil' Kim, Mya & P!nk",58,1,51,20
"Two People Fell In Love","Brad Paisley",97,51,87,18
"Fiesta","R. Kelly Featuring Jay-Z",50,6,43,21
"Play","Jennifer Lopez",89,18,86,20
"Right Where I Need To Be","Gary Allan",93,42,90,20
"La Bomba","Azul Azul",94,70,96,20
"When Somebody Loves You","Alan Jackson",96,52,95,17
"Miss California","Dante Thomas Featuring Pras",97,85,88,6
"There She Goes","Babyface",98,31,87,15
"My Baby","Lil' Romeo",99,3,85,14
"I'm Like A Bird","Nelly Furtado",48,9,42,24
"All For You","Janet",49,1,43,22
"Grown Men Don't Cry","Tim McGraw",77,25,79,20
"I Like Them Girls","Tyrese",97,48,91,19
"If You Can Do Anything Else","George Strait",100,51,93,18
"If You're Gone","matchbox twenty",47,5,48,42
"I Hope You Dance","Lee Ann Womack",48,14,46,48
"I Cry","Ja Rule Featuring Lil' Mo",86,40,93,14
"Just A Baby Boy","Snoop Dogg Featuring Tyrese & Mr. Tan",90,90,90,4
"Survivor","Destiny's Child",86,2,80,20
"Midwest Swing","St. Lunatics",95,88,88,5
"Lay Low","Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",96,50,93,19
"Maybe I Deserve","Tank",99,38,91,20
"My Way","Limp Bizkit",100,75,95,14
"Ain't Nothing 'Bout You","Brooks & Dunn",57,25,48,20
"Don't Happen Twice","Kenny Chesney",63,26,54,20
"Heard It All Before","Sunshine Anderson",69,18,58,20
"Take It To Da House","Trick Daddy Featuring The SNS Express",79,50,66,20
"Yellow","Coldplay",94,48,91,20
"Let's Get It","Three The... G. Dep, P. Diddy & Black Rob",97,80,88,9
"Until The End Of Time","2Pac",100,52,92,14
"It's A Great Day To Be Alive","Travis Tritt",61,33,63,20
"Never Had A Dream Come True","S Club 7",62,10,64,20
"So Fresh, So Clean","OutKast",81,30,77,20
"Playas Gon' Play","3LW",90,81,87,7
"Oochie Wally","QB Finest Featuring Nas & Bravehearts",93,26,91,20
"Dream On","Depeche Mode",94,85,93,10
"If I Fall You're Going Down With Me","Dixie Chicks",96,38,96,18
"South Side","Moby Featuring Gwen Stefani",46,14,39,32
"Missing You","Case",47,4,41,22
"Angel","Shaggy Featuring Rayvon",49,1,46,28
"Love","Musiq Soulchild",50,24,51,21
"What It Feels Like For A Girl","Madonna",97,23,83,10
"Look At Us","Sarina Paris",100,59,95,20
"Stutter","Joe Featuring Mystikal",44,1,27,26
"Get Over Yourself","Eden's Crush",98,8,93,14
"Mrs. Steven Rudy","Mark McGuinn",100,44,95,15
"Again","Lenny Kravitz",47,4,35,32
"Put It On Me","Ja Rule Featuring Lil' Mo & Vita",48,8,36,27
"Imitation Of Life","R.E.M.",99,83,95,5
"Loaded","Ricky Martin",100,97,97,2
"Bizounce","Olivia",80,15,77,14
"A Long Walk","Jill Scott",90,43,93,19
"Everybody Doesn't","Amanda",96,81,90,6
"Who's That Girl?","Eve",99,47,95,18
"Best I Ever Had (Grey Sky Morning)","Vertical Horizon",100,58,98,16
"Butterfly","Crazy Town",50,1,37,23
"Jaded","Aerosmith",53,7,42,20
"Who I Am","Jessica Andrews",73,28,70,20
"Breathless","The Corrs",83,34,74,20
"Nobody Wants To Be Lonely","Ricky Martin Duet With Christina Aguilera",86,13,83,20
"Around The World (La La La La La)","ATC",97,28,95,18
"There It Is","Ginuwine",100,66,84,10
"Stranger In My House","Tamia",43,10,40,21
"One More Day","Diamond Rio",56,29,53,20
"Southern Hospitality","Ludacris",81,23,74,20
"One Step Closer","Linkin Park",97,75,93,17
"If My Heart Had Wings","Faith Hill",99,39,91,18
"Outside","Aaron Lewis Of Staind With Fred Durst",100,56,95,19
"Crazy","K-Ci & JoJo",43,11,37,25
"The Way You Love Me","Faith Hill",48,6,45,56
"Puppy Love","Lil Bow Wow Featuring Jagged Edge",92,75,80,7
"After Party","Koffee Brown",94,44,88,20
"Guilty Until Proven Innocent","Jay-Z Featuring R. Kelly",96,82,87,8
"She Misses Him","Tim Rushlow",97,59,89,11
"One More Time","Daft Punk",99,61,96,16
"Let's Get Dirty (I Can't Get In Da Club)","Redman Featuring DJ Kool",100,97,97,2
"Rose Bouquet","Phil Vassar",90,78,81,4
"Request Line","The Black Eyed Peas Featuring Macy Gray",94,63,88,8
"Chickenhead","Project Pat",95,87,94,12
"Don't Talk","Jon B",98,58,97,14
"Free","Mya",99,42,93,16
"Just Another Girl","Monica",100,64,99,13
"Promise","Jagged Edge",47,9,37,21
"You Shouldn't Kiss Me Like This","Toby Keith",57,32,53,20
"Lady (Hear Me Tonight)","Modjo",96,81,99,19
"You Make Me Sick","P!nk",100,33,96,19
"But For The Grace Of God","Keith Urban",81,37,77,20
"There Is No Arizona","Jamie O'Neal",91,40,88,20
"Pour Me","Trick Pony",94,71,85,14
"Change The Game","Jay-Z, Beanie Sigel And Memphis Bleek",98,86,97,14
"That's How I Beat Shaq","Aaron Carter",100,96,96,2
"Don't Tell Me","Madonna",45,4,32,21
"Love Don't Cost A Thing","Jennifer Lopez",48,3,39,21
"Danger (Been So Long)","Mystikal Featuring Nivea",62,14,66,20
"Could It Be","Jaheim",76,26,65,20
"Soul Sista","Bilal",98,71,98,14
